WEEK_RANK,NAME,TEAM,WEEK,RESULT,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR,SEASON_TYPE
1,R. Grossman,CHI,1,W26-0at GB,96.4,5.5,31,5.4,4.3,0.6,-0.5,0.1,92.4,2006,REGULAR
2,D. McNabb,PHI,1,W24-10at HOU,92.5,8.1,38,8.9,8.6,0.1,-0.3,-0.1,95.4,2006,REGULAR
3,C. Pennington,NYJ,1,W23-16at TEN,90.1,6.1,43,7.5,6.5,-0.3,-1.0,0.2,88.1,2006,REGULAR
4,P. Manning,IND,1,W26-21at NYG,86.0,5.8,45,8.3,8.4,0.0,-0.3,-0.3,86.0,2006,REGULAR
5,M. Vick,ATL,1,W20-6at CAR,79.4,1.8,30,3.4,1.3,1.1,-0.7,0.4,70.5,2006,REGULAR
6,C. Batch,PIT,1,W28-17vs. MIA,71.0,2.6,32,4.5,4.4,-1.8,-1.1,0.7,75.8,2006,REGULAR
7,S. McNair,BAL,1,W27-0at TB,65.6,2.1,33,3.0,3.5,-1.3,-0.5,0.3,71.5,2006,REGULAR
8,B. Leftwich,JAX,1,W24-17vs. DAL,65.1,3.1,39,5.2,5.2,-0.5,-0.4,0.0,75.2,2006,REGULAR
9,B. Johnson,MIN,1,W19-16at WSH,64.4,3.1,36,5.2,5.0,0.0,-0.2,0.1,77.3,2006,REGULAR
10,J.P. Losman,BUF,1,L19-17at NE,59.6,0.3,28,1.8,0.1,0.0,-1.9,-0.2,53.5,2006,REGULAR
11,M. Brunell,WSH,1,L19-16vs. MIN,57.5,-0.2,31,1.6,2.8,-1.1,0.0,-0.1,47.6,2006,REGULAR
12,E. Manning,NYG,1,L26-21vs. IND,54.0,1.3,41,3.4,5.7,-1.7,0.0,-0.7,61.0,2006,REGULAR
13,D. Bledsoe,DAL,1,L24-17at JAX,53.1,-0.9,41,1.3,0.5,0.6,-0.4,-0.2,42.3,2006,REGULAR
14,T. Brady,NE,1,W19-17vs. BUF,50.7,0.4,29,2.1,-0.9,0.9,-1.8,0.2,55.0,2006,REGULAR
15,D. Brees,NO,1,W19-14at CLE,48.9,0.2,32,2.0,2.2,0.0,0.0,-0.1,52.4,2006,REGULAR
16,D. Carr,HOU,1,L24-10vs. PHI,48.8,0.4,40,2.5,-1.4,0.6,-2.7,0.5,53.5,2006,REGULAR
17,A. Smith,SF,1,L34-27at ARI,46.9,0.1,43,2.3,2.4,0.0,-0.3,-0.4,51.0,2006,REGULAR
18,K. Warner,ARI,1,W34-27vs. SF,46.4,0.1,43,2.5,2.9,-1.7,-1.3,0.0,50.7,2006,REGULAR
19,J. Kitna,DET,1,L9-6vs. SEA,36.9,-1.8,43,0.7,-0.3,0.0,-1.0,0.0,35.3,2006,REGULAR
20,C. Frye,CLE,1,L19-14vs. NO,36.0,-1.0,41,1.4,-2.3,1.5,-2.0,0.1,41.4,2006,REGULAR
21,C. Palmer,CIN,1,W23-10at KC,33.6,-0.9,23,0.4,0.0,0.0,-0.6,-0.2,37.0,2006,REGULAR
22,M. Hasselbeck,SEA,1,W9-6at DET,32.9,-1.6,41,0.8,-1.3,-0.6,-2.7,0.0,36.2,2006,REGULAR
23,B. Favre,GB,1,L26-0vs. CHI,25.0,-3.9,36,-1.0,-1.7,-0.7,-1.4,-0.1,17.6,2006,REGULAR
24,D. Culpepper,MIA,1,L28-17at PIT,20.5,-4.0,45,-1.2,-1.6,0.0,-0.6,-0.1,22.2,2006,REGULAR
25,T. Green,KC,1,L23-10vs. CIN,20.2,-1.4,23,0.0,-0.3,-1.3,-1.6,-0.1,30.0,2006,REGULAR
26,A. Brooks,OAK,1,L27-0vs. SD,16.9,-3.8,26,-2.0,-6.2,1.4,-2.7,0.1,11.2,2006,REGULAR
27,K. Collins,TEN,1,L23-16vs. NYJ,16.6,-4.4,45,-1.6,-2.0,0.0,-0.5,0.0,19.9,2006,REGULAR
28,C. Simms,TB,1,L27-0vs. BAL,8.6,-6.1,33,-3.0,-3.6,-0.1,-0.6,0.1,6.7,2006,REGULAR
29,J. Delhomme,CAR,1,L20-6vs. ATL,8.0,-6.6,45,-2.6,-3.9,0.0,-1.4,-0.2,11.3,2006,REGULAR
30,D. Huard,KC,1,L23-10vs. CIN,7.2,-3.6,25,-0.8,-2.1,0.2,-1.1,0.0,11.6,2006,REGULAR
1,R. Grossman,CHI,2,W34-7vs. DET,97.8,9.8,31,7.3,6.9,0.0,0.0,0.4,98.9,2006,REGULAR
2,P. Manning,IND,2,W43-24vs. HOU,94.3,12.0,47,8.1,7.2,0.1,-0.3,0.4,97.4,2006,REGULAR
3,M. Vick,ATL,2,W14-3vs. TB,91.8,7.1,34,7.9,0.0,6.3,-1.0,0.7,95.1,2006,REGULAR
4,T. Brady,NE,2,W24-17at NYJ,90.6,5.0,32,5.8,4.4,0.0,-0.6,0.8,90.1,2006,REGULAR
5,V. Young,TEN,2,L40-7at SD,81.4,1.5,25,0.9,0.3,0.5,0.0,0.0,70.2,2006,REGULAR
6,P. Rivers,SD,2,W40-7vs. TEN,76.2,3.5,40,3.6,2.9,0.7,0.0,0.0,77.6,2006,REGULAR
7,D. Brees,NO,2,W34-27at GB,74.9,1.0,47,3.6,1.3,0.0,-2.0,0.3,57.5,2006,REGULAR
8,J. Kitna,DET,2,L34-7at CHI,68.2,0.1,42,1.5,-1.0,0.2,-1.6,0.7,51.1,2006,REGULAR
